Unique_ID,Ticker,Company Name,Exchange,Market Segment,Discovery,Preclinical,Clinical Trials,FDA Review,Commercial,Commercial_Role,Development_Pathway,Data Confidence,Data Source,Reviewer_Notes,Primary_Indication,Lead_Asset_Name,Core Technology,Primary_Ticker,Currency,Fiscal_Year_End,Company_Name,CIK,Financial_Source_Type,Financial_Source_Ticker,Market_Price_Ticker,Financial_Reporting_Currency,Quote_Currency,Reporting_Standard
CMP-001,4528.T,"Ono Pharmaceutical Co., Ltd.",Tokyo Stock,Big Pharma,TRUE,TRUE,TRUE,TRUE,TRUE,Innovator,Novel (NCE/NBE),5,Yahoo_Finance_4528T,,Oncology,Opdivo (nivolumab),,4528.T,JPY,3,"Ono Pharmaceutical Co., Ltd.",,YFINANCE_THEN_MANUAL,4528.T,4528.T,JPY,JPY,IFRS
CMP-002,1LLY.MI,Eli Lilly & Co.,Milan Stock Exchange,Big Pharma,TRUE,TRUE,TRUE,TRUE,TRUE,Innovator,Novel (NCE/NBE),5,Yahoo_Finance_LLY,,Diabetes/Obesity,Mounjaro (tirzepatide),,LLY,USD,12,Eli Lilly & Co.,59478,YFINANCE_THEN_MANUAL,LLY,LLY,USD,USD,US GAAP
CMP-003,JNJ,Johnson & Johnson,NYSE,Big Pharma,TRUE,TRUE,TRUE,TRUE,TRUE,Innovator,Novel (NCE/NBE),5,SEC_EDGAR_ENRICHED,,Oncology,Darzalex (daratumumab),,,USD,12,Johnson & Johnson,200406,SEC_EDGAR,JNJ,JNJ,USD,USD,US GAAP
CMP-004,ABBV,Abbvie,NYSE,Big Pharma,TRUE,TRUE,TRUE,TRUE,TRUE,Innovator,Novel (NCE/NBE),5,SEC_EDGAR_ENRICHED,,Immunology,Skyrizi (risankizumab),,,USD,12,Abbvie,1551152,SEC_EDGAR,ABBV,ABBV,USD,USD,US GAAP
CMP-005,ROG.SW,Roche,SIX Swiss Exchange,Big Pharma,TRUE,TRUE,TRUE,TRUE,TRUE,Innovator,Novel (NCE/NBE),5,Yahoo_Finance_RHHBY,Updated lead asset to Ocrevus (MS) - top revenue driver.,Multiple Sclerosis,Ocrevus,,ROG.SW,CHF,12,Roche,,YFINANCE_THEN_MANUAL,ROG.SW,ROG.SW,CHF,CHF,IFRS
CMP-006,AZN.L,AstraZeneca,NYSE,Big Pharma,TRUE,TRUE,TRUE,TRUE,TRUE,Innovator,Novel (NCE/NBE),5,SEC_EDGAR_ENRICHED,,Oncology,Tagrisso (osimertinib),,AZN.L,USD,12,AstraZeneca,901832,SEC_EDGAR,AZN.L,AZN.L,USD,GBP,IFRS
CMP-007,NOVN.SW,Novartis AG,NYSE,Big Pharma,TRUE,TRUE,TRUE,TRUE,TRUE,Innovator,Novel (NCE/NBE),5,Yahoo_Finance_NVS,,Cardiovascular,Entresto (sacubitril/valsartan),,NOVN.SW,USD,12,Novartis AG,1114448,SEC_EDGAR,NOVN.SW,NOVN.SW,USD,CHF,IFRS
CMP-008,MRK,Merck & Co,NYSE,Big Pharma,TRUE,TRUE,TRUE,TRUE,TRUE,Innovator,Novel (NCE/NBE),5,SEC_EDGAR,,Oncology,Keytruda (pembrolizumab),,,USD,12,Merck & Co,310158,SEC_EDGAR,MRK,MRK,USD,USD,US GAAP
CMP-009,NOVO-B.CO,Novo Nordisk,NYSE,Big Pharma,TRUE,TRUE,TRUE,TRUE,TRUE,Innovator,Novel (NCE/NBE),5,SEC_EDGAR_ENRICHED,,Diabetes/Obesity,Ozempic (semaglutide),,NOVO-B.CO,DKK,12,Novo Nordisk,353278,SEC_EDGAR,NVO,NOVO-B.CO,DKK,DKK,IFRS
CMP-010,AMGN,Amgen Inc.,NASDAQ,Big Pharma,TRUE,TRUE,TRUE,TRUE,TRUE,Innovator,Novel (NCE/NBE),5,SEC_EDGAR_ENRICHED,,,,,,USD,12,Amgen Inc.,318154,SEC_EDGAR,AMGN,AMGN,USD,USD,US GAAP
CMP-011,GILD,Gilead Sciences,NASDAQ,Big Pharma,TRUE,TRUE,TRUE,TRUE,TRUE,Innovator,Novel (NCE/NBE),5,SEC_EDGAR,,,,,,USD,12,Gilead Sciences,882095,SEC_EDGAR,GILD,GILD,USD,USD,US GAAP
CMP-012,PFE,Pfizer,NYSE,Big Pharma,TRUE,TRUE,TRUE,TRUE,TRUE,Innovator,Novel (NCE/NBE),5,SEC_EDGAR_ENRICHED,,,,,,USD,12,Pfizer,78003,SEC_EDGAR,PFE,PFE,USD,USD,US GAAP
CMP-013,BMY,Bristol Myers Squibb,NYSE,Big Pharma,TRUE,TRUE,TRUE,TRUE,TRUE,Innovator,Novel (NCE/NBE),5,SEC_EDGAR,,,,,,USD,12,Bristol Myers Squibb,14272,SEC_EDGAR,BMY,BMY,USD,USD,US GAAP
CMP-014,VRTX,Vertex Pharmaceuticals,NASDAQ,Big Pharma,TRUE,TRUE,TRUE,TRUE,TRUE,Innovator,Novel (NCE/NBE),5,SEC_EDGAR,,,,,,USD,12,Vertex Pharmaceuticals,875320,SEC_EDGAR,VRTX,VRTX,USD,USD,US GAAP
CMP-015,SNY,Sanofi,NASDAQ,Big Pharma,TRUE,TRUE,TRUE,TRUE,TRUE,Innovator,Novel (NCE/NBE),5,Yahoo_Finance_SNY,,,,,,EUR,12,Sanofi,1121404,SEC_EDGAR,SNY,SNY,EUR,USD,IFRS
CMP-016,REGN,Regeneron Pharmaceuticals,NASDAQ,Big Pharma,TRUE,TRUE,TRUE,TRUE,TRUE,Innovator,Novel (NCE/NBE),5,SEC_EDGAR,,,,,,USD,12,Regeneron Pharmaceuticals,872589,SEC_EDGAR,REGN,REGN,USD,USD,US GAAP
CMP-017,9995.HK,Remegen,Hong Kong Stock Exchange,Big Pharma,TRUE,TRUE,TRUE,TRUE,TRUE,Innovator,Novel (NCE/NBE),5,Yahoo_Finance_REGN_F,"PATCH: Market_Price_Ticker=9995.HK (CNY, Shanghai A-shares) differs from Financial_Source_Ticker=9995.HK (HKD, HKEX). Quote_Currency set to CNY. Verify market cap source — Shanghai A-share data may be restricted in yfinance; consider switching Market_Price_Ticker to 9995.HK (HKD) if price fetch fails.",,,,REGN,HKD,12,Remegen,,YFINANCE_THEN_MANUAL,9995.HK,9995.HK,HKD,CNY,IFRS
CMP-018,MRK.F,Merck KGaA,Frankfurt Stock Exchange,Big Pharma,TRUE,TRUE,TRUE,TRUE,TRUE,Innovator,Novel (NCE/NBE),5,SEC_EDGAR,"[FIX] Financial_Source_Ticker changed from MKGAY to MRK.F (Frankfurt, active ticker for yfinance financial data). Market_Price_Ticker remains MKGAY. | [FIX] Market_Price_Ticker changed from MKGAY (inactive OTC) to MRK.F (Frankfurt, active) so calculate_market_cap.py can fetch a price.",,,,MKGAY,EUR,12,Merck KGaA,,YFINANCE_THEN_MANUAL,MRK.F,MRK.F,EUR,USD,IFRS
CMP-019,TAK,Takeda Pharmaceutical,NYSE,Big Pharma,TRUE,TRUE,TRUE,TRUE,TRUE,Innovator,Novel (NCE/NBE),5,SEC_EDGAR_ENRICHED,,,,,,JPY,3,Takeda Pharmaceutical,1395064,SEC_EDGAR,TAK,4502.T,JPY,JPY,IFRS
CMP-020,BAYN.DE,Bayer,XETRA,Big Pharma,TRUE,TRUE,TRUE,TRUE,TRUE,Innovator,Novel (NCE/NBE),5,Yahoo_Finance_BAYRY,"[FIX] Financial_Source_Ticker changed from BAYRY to BAYN.DE (Frankfurt, active ticker for yfinance financial data). Market_Price_Ticker remains BAYRY.",,,,BAYRY,EUR,12,Bayer,,YFINANCE_THEN_MANUAL,BAYN.DE,BAYRY,EUR,USD,IFRS
CMP-021,4578.T,"Otsuka Holdings Co., Ltd.",Tokyo Stock Exchange,Big Pharma,TRUE,TRUE,TRUE,TRUE,TRUE,Innovator,Novel (NCE/NBE),5,Yahoo_Finance_4578T,"[MAPPING_ERROR] 4578.T = Otsuka Holdings, NOT Otsuka Holdings Co., Ltd.. Taiho is a wholly-owned Otsuka subsidiary with no standalone public listing. Financial data fetched will be Otsuka consolidated. Consider: (a) replace with Otsuka Holdings as the tracked entity, or (b) remove from Top-50 list and replace with a standalone-listed company.",,,,,JPY,12,"Otsuka Holdings Co., Ltd.",,YFINANCE_THEN_MANUAL,4578.T,4578.T,JPY,JPY,IFRS
CMP-022,ZTS,Zoetis Inc.,NYSE,Big Pharma,TRUE,TRUE,TRUE,TRUE,TRUE,Innovator,Novel (NCE/NBE),5,SEC_EDGAR_ENRICHED,,,,,,USD,12,Zoetis Inc.,1555280,SEC_EDGAR,ZTS,ZTS,USD,USD,US GAAP
CMP-023,6160.HK,BeOne Medicines,Hong Kong Stock Exchange,Big Pharma,TRUE,TRUE,TRUE,TRUE,TRUE,Innovator,Novel (NCE/NBE),5,Yahoo_Finance_ONC,,,,,,HKD,12,BeOne Medicines,1651308,YFINANCE_THEN_MANUAL,6160.HK,6160.HK,HKD,HKD,IFRS
CMP-024,4568.T,Daiichi Sankyo,Tokyo Stock Exchange,Big Pharma,TRUE,TRUE,TRUE,TRUE,TRUE,Innovator,Novel (NCE/NBE),5,Yahoo_Finance_4568T,,,,,,JPY,3,Daiichi Sankyo,,YFINANCE_THEN_MANUAL,4568.T,4568.T,JPY,JPY,IFRS
CMP-025,BIIB,Biogen,NASDAQ,Big Pharma,TRUE,TRUE,TRUE,TRUE,TRUE,Innovator,Novel (NCE/NBE),5,SEC_EDGAR,,,,,,USD,12,Biogen,875045,SEC_EDGAR,BIIB,BIIB,USD,USD,US GAAP
CMP-026,4503.T,Astellas Pharma,Tokyo Stock Exchange,Big Pharma,TRUE,TRUE,TRUE,TRUE,TRUE,Innovator,Novel (NCE/NBE),5,Yahoo_Finance_4503T,,,,,,JPY,3,Astellas Pharma,,YFINANCE_THEN_MANUAL,4503.T,4503.T,JPY,JPY,IFRS
CMP-027,4519.T,Chugai Pharmaceutical,Tokyo,Biotech,TRUE,TRUE,TRUE,TRUE,TRUE,Innovator,Novel (NCE/NBE),5,Yahoo_Finance_4519T,,,,,,JPY,12,Chugai Pharmaceutical,,YFINANCE_THEN_MANUAL,4519.T,4519.T,JPY,JPY,IFRS
CMP-028,MRNA,"Moderna, Inc.",NASDAQ,Big Pharma,TRUE,TRUE,TRUE,TRUE,TRUE,Innovator,Novel (NCE/NBE),5,SEC_EDGAR_ENRICHED,,,,,,USD,12,"Moderna, Inc.",1682852,SEC_EDGAR,MRNA,MRNA,USD,USD,US GAAP
CMP-029,CSL,CSL Limited,ASX,Big Pharma,TRUE,TRUE,TRUE,TRUE,TRUE,Innovator,Novel (NCE/NBE),5,SEC_EDGAR,PATCH: Exchange corrected from NYSE to ASX. Market_Price_Ticker updated from CSL to CSL.AX (yfinance-compatible ASX ticker). Quote_Currency set to AUD.,,,,,AUD,6,CSL Limited,1274152,SEC_EDGAR,CSL,CSL.AX,AUD,AUD,IFRS
CMP-030,HLN.L,Haleon plc,LSE,Biotech,FALSE,FALSE,TRUE,TRUE,TRUE,Innovator,Repurposed (505b2),5,SEC_EDGAR_ENRICHED,,,,,,GBP,12,Haleon plc,1900304,YFINANCE_THEN_MANUAL,HLN.L,HLN.L,GBP,GBP,IFRS
